Review,Label
"Length of battery life and remote fail often! I dependability is not there!
4 purchased 3 are in unreliable",0
"Its nice, easy to use but the batteries die in a couple of days. Not useful if I have to constantly put new batteries in. It takes 3 or 4 batteries, too expensive to use. Wish I could return it.",0
"This is a poorly designed and functioning product, and would not recommend it to friends or family. The bracket is difficult to secure to wall using nuts and screws provided in kit. The illumination is not adequate to light a normal sized painting. Changing the batteries is not easily accomplished without taking down the paint and heavy frame.",0
THE LIGHT IS JUST WRIGHT AND THE CONTROL MAKES IT EASY TO TURN ON.,1
"Great instructions, made for an easy install. Really like that there are 3 lighting effects to choose from. Remote works perfectly and has different timers- don't want to waste batteries! Great buy. I would purchase again.",1
Beautiful,1
"This was supposed to be gold, but it's a copper color.",0
"I like it very much, easy to install, good value for the money and the remote works great!",1
Easy to install and nice lighting.. also got here really fast.,1
"It's easy to set up, easy to mount, it has multiple colors, and a couple of brightness levels. But, it really is not very bright, and the pattern of light it throws is only as wide as the light itself, which is barely 12"" wide.
The description as listed is pretty accurate, and it does say only 100 lumens. Be aware, that is not very bright. I'll keep it, but I would not buy it again.",0
"The light is somewhat disappointing because although you can tell it is cheaply made with plastic, it still is a nice shape and aesthetic. The light is also pretty dim even on the highest setting. I would only recommend this if you have fairly low expectations and don’t need a light that is very bright.",0
It came in a weird orange/gold color. The part that touches the wall was orange and the arm and light was gold. Would have been nice but…eh…,0
"La lampe n'est pas assez efficace, et le retour de la lampe chez le fournisseur nous coûte plus de 30% du coût d'achat. Donc pensez y bien sérieusement avant de faire une commande.",0
"Tiene una iluminacion muy baja, la puse para resaltar un cuadro, y no funciono, ahora esta como puro adorno arriba del cuadro",0
"I really enjoy looking at this library light fixture, looks beautiful and it adds focused light into a small object which is my shelf wit Christmas decorations at the moment. Love how easy it is to turn it on and off with the tiny remote control which also provides 3 different light shades, warm , bright and dimmed white. Happy with this purchase, it was easy to install.",1
Perfect for small dark areas!,1
J'ai reçu plus vite que la date estimée; les 3 sortes d'éclairage sont fabuleux; l'aspect délicat donne un beau cachet. Très heureuse de mon choix,1
Very easy set up. Illumination for an original art work.,1
"I wish I would’ve been more on top of things when this item arrived. I would’ve returned. It looks very very cheap. The light settings are nice, but the fixture itself is crooked, uneven, dull and cheap",0
Will not buy again. Over priced plastic with poor install hardware which does not allow proper mount,0
We used it to light a print we hung where there was no power available! Remote makes using very easy. It is a nice compliment to the picture and frame! This is our 2nd. one we own. ; ),1
"The light was not bright enough when it was working, and it did not work for very long. I am NOT happy with it! I am trying to return it now, but the warranty is only for a replacement,. Since it is made in China it probably means the replacement will not be any better!",0
Brightness could be a little better. Looks good on my wall above a memorial picture in glass.,1
This light is not rechargeable. You need to replace the batteries frequently. This is not as good as the other one I purchased that was rechargeable.,0
Well I just opened it the other day and I am super pissed. Maybe it is a dud I won't get to find out because my return date has ended. I can't open the battery compartment for the remote. I have tried so hard to get it out but it is stuck. Can't turn it on I guess either. I just gave someone some free money. PISSED,0
Very easy to install.,1
The remote has to be pointed at the light to operate. Serves it purpose. A little over priced but what isn’t now days,1
