Review,Label
"We put this on a stone fireplace above a special piece of art. We thought it would be difficult because of the uneven surface of the stones, but it worked! The template helped a LOT!

Nice light with warm or cool options, bright or dimmer. The ONLY complaint I have is that the longest timer setting is just two hours. Wish it were longer.",1
I’m OBSESSED with this art lamp!!! My father in law surprised us with a painting of our wedding venue for Christmas and this lamp gives it just the spotlight it deserves!!! It added so much to our display and I am so pleased with this product! Super easy to install- is super lightweight and even has a little build in level for perfect installation! Love the added touch of the remote and the different settings. Can be set to cool or warm light and can adjust the brightness as well as set timers for automatic shut off! BUY THIS!,1
"For a 16 x 24 canvas it might be enough, but mine was 20 x 45 and not enough light.",1
"You can attach those with a 3M “sticker”. Love that they come with a remote that has a timer.
Super cute and have no cons about them.",1
Great light a little challenge to hang up but built in level helps. Only complaint is the lack of communication with seller if your light comes broken just send back and reorder seller does not respond to you.,1
"I have metal ones in my living room and they work great but were expensive and difficult to install. This one is made of mostly plastic but you almost can’t tell. You would have to get up close and even then it is difficult. I just installed it so I can’t say how long the batteries last. But I don’t intend to keep it on constantly as I don’t the metals one. The remote is great; allows you to turn on/off; dim; timer and change type of lighting. For the price, this one can’t be beat!",1
I like the chrome design and simplicity of this light. It tends to suck away battery power really quickly. Having to put in new batteries is really easy cause you can flick it off the wall. Note: you cannot move this from left to right. It is in a fixed position but you can move the lights up and down. I love the look it makes for my paintings and the remote is cool to change from warm light to led. I wish it had better battery life.,1
Great if you can’t hardwire and are ok with led light!,1
"I’m not one to rewrite reviews much, but the manufacturer of this product thought of everything. I was thoroughly impressed with the paper that they used to help guide the install of the screws, which were provided. Also, remote control is outstanding with a bunch of options. (One suggestion to the manufacturer, maybe they can add a dusk dawn timer instead of just 120 minutes on the timer). Lastly, the lights themselves rotate so you can place the lights where you want them on your painting.
Thank you so much for making such quality product.",1
"These lights are great for pictures that are not near a wall outlet. The versatility in light brightness, color, and timer make this a great purchase. It was VERY easy to install (has a level on the mounting plate). The lights rotate which allow you to adjust where the light shines. Bought one to try first, then bought another!",1
