Review,Label
"It works well and looks modern. However, the price is a reflection of the quality. Instead of metal it is plastic, so the gold is yellowish, which makes it look cheap. Especially the curved piece. That gold is different than the rest. Probably the black one would be better. I am returning it as it did not work for me.",0
"I was really excited to find a picture light that was battery operated and dimmable. Unfortunately, this light is not very bright and the battery life is surprisingly short. Another downside with this light is that there is no way to turn it on or off without the remote. So, if you lose the remote you basically have a useless light. I would not buy this item again.",0
"Not happy with this light. As you can see it only lit up the very top of my painting. The lamp below gave it most of the lighting. This painting is 30"" x 40"" so maybe I should have used two lights but that wouldn't look very good to have two lights. I guess this light would only be good for a small painting. Very small. The remote and easy to install was good but that's about all.",0
Easy to install and I typically use the push button to turn on. I would return if it wasn’t already hung.,0
"No matter how the light is directed, the brightness of the light is not adequate for the size of my framed art. It only lit the top part of the art piece.",0
"The batteries do not work, I am disappointed, I wanted to like this product, and now I have buy battery separately",0
Appearance is fine. All works as it should. Light quality is average. The neck where the light is attached does not extend from the wall very far. When there is even a moderately heavy from the light does not extend well enough to cast a good light over the painting. Too bright just by the lamp and poorly lit otherwise.,0
"I was super upset, I just installed the light and with only 3 clicks the battery died on the remote!",0
I’ve had this product less than two years and it served its purpose but would buy plug in next time. Easy to install and lights up well. Batteries drain relatively quick. The battery well rusted out quickly and made it unusable. I did love this product while it worked but it’s only a temporary solution. I bought two and for over $60 I would have liked it to last a little longer. Will be buying plug in next time.,0
It looks good but it’s mainly plastic. Wouldn’t order again.,0
You will burn through 3 AA batteries PER WEEK to use this light. If that does not bother you I say get it. I just put in new batteries again today as you can see in the photo and the brightness will last about 3 days and then goes super dim. We have it in our bathroom in a dark corner so it is turned on everyday. You would expect the brightness to last longer. At least now you know what your getting for the money.,0
"I love the light—great for the price—however, the first remote did not work so I contacted the seller who promptly sent another. This remote does not work either!! The picture is high and I will need a ladder to turn on the light!! Very disappointed in the remote. I attempted to purchase another but can’t find how. I tried to re-contact the seller, but have not heard anything. If I can’t get a remote that works, the product is virtually useless!!",0
"I have a very long canvas print. I just assumed that the light would hit the entire canvas. I realize this model of light does not have the flexibility acceptable to be able to have it shine on the total of the picture. I will need to buy some ceiling Mounted lights instead.
This would be perfect for a smaller print",0
"For the price, it’s OK, but I wouldn’t recommend.",0
"One of my lights came bent....total bummer. Other than that, they are nice!",0
Easy to install. Not very bright on any setting with new batteries. Batteries ran out fast when only on from 6pm-9pm and not every night. I am in a rental and it will leave holes if I take it down. I would not chose this product again.,0
"I wish I would’ve been more on top of things when this item arrived. I would’ve returned. It looks very very cheap. The light settings are nice, but the fixture itself is crooked, uneven, dull and cheap",0
